player_id,date,time,slot,deposit_amount,withdraw_amount,games_played,loyalty_points
1,2023-10-01,06:21:49,S1,12534,253,73,153.48600000000002
1,2023-10-01,22:29:49,S2,35990,12433,73,460.2220000000001
1,2023-10-02,10:45:24,S1,42748,19933,57,561.36
1,2023-10-02,14:05:24,S2,44365,7134,88,534.1510000000001
1,2023-10-03,07:16:23,S1,1250,26795,37,153.875
1,2023-10-03,20:24:19,S2,29427,19445,72,415.877
1,2023-10-04,07:41:13,S1,7284,48804,7,318.26
1,2023-10-04,14:19:47,S2,47459,29117,51,648.7170000000001
1,2023-10-05,07:54:49,S1,18291,4719,71,234.277
1,2023-10-05,14:24:52,S2,47732,30027,70,659.16
1,2023-10-06,11:31:43,S1,685,35190,37,190.20000000000002
1,2023-10-06,12:06:24,S2,27583,5753,88,344.025
1,2023-10-07,04:51:51,S1,26563,3959,71,322.229
1,2023-10-07,20:19:58,S2,44340,37680,25,643.46
1,2023-10-08,01:25:03,S1,35939,7337,35,431.67699999999996
1,2023-10-08,15:34:00,S2,41555,28412,52,581.153
1,2023-10-09,06:43:47,S1,49514,14540,73,617.4140000000001
1,2023-10-09,18:39:13,S2,15493,41492,38,369.99
1,2023-10-10,01:44:13,S1,7097,22347,58,194.30499999999998
1,2023-10-10,19:16:55,S2,30998,32744,86,490.90000000000003
1,2023-10-11,01:23:09,S1,44580,37321,46,648.864
1,2023-10-11,16:42:00,S2,48717,7879,83,584.003
1,2023-10-12,11:49:26,S1,11365,43334,29,336.12000000000006
1,2023-10-12,12:30:27,S2,27039,43918,98,509.58000000000004
1,2023-10-13,10:14:15,S1,8193,7895,68,135.303
1,2023-10-13,22:06:50,S2,620,47852,98,265.06
1,2023-10-14,11:18:11,S1,41883,25425,79,578.2129999999999
1,2023-10-14,20:54:03,S2,14273,21235,90,266.905
1,2023-10-15,09:05:57,S1,29035,12979,19,375.101
1,2023-10-15,13:01:22,S2,44526,7182,21,522.714
1,2023-10-16,07:18:31,S1,35740,9461,72,445.384
1,2023-10-16,12:05:38,S2,45313,19561,53,587.2869999999999
1,2023-10-17,07:07:20,S1,22097,36881,64,418.175
1,2023-10-17,12:19:25,S2,22597,4528,95,285.67900000000003
1,2023-10-18,04:13:50,S1,4072,37138,40,234.41
1,2023-10-18,12:42:19,S2,18972,10296,92,268.27599999999995
1,2023-10-19,00:25:45,S1,32952,25757,66,478.69999999999993
1,2023-10-19,21:18:56,S2,35606,31107,91,534.2940000000001
1,2023-10-20,08:40:52,S1,12948,5311,27,169.072
1,2023-10-20,21:17:32,S2,40312,48553,29,651.685
1,2023-10-21,02:32:43,S1,44670,7711,33,528.8140000000001
1,2023-10-21,23:53:58,S2,49201,14719,91,618.287
1,2023-10-22,04:39:48,S1,27880,16695,51,383.66
1,2023-10-22,17:38:10,S2,22758,20724,1,333.434
1,2023-10-23,07:44:38,S1,23569,7215,53,298.719
1,2023-10-23,12:34:26,S2,47283,41478,57,697.425
1,2023-10-24,09:27:18,S1,34053,32708,21,509.61500000000007
1,2023-10-24,22:28:14,S2,23080,23592,61,360.96
1,2023-10-25,07:33:15,S1,27218,28676,12,417.96
1,2023-10-25,16:42:06,S2,8838,11052,76,158.83999999999997
1,2023-10-26,10:06:59,S1,1866,1387,89,43.873999999999995
1,2023-10-26,23:06:43,S2,6625,25804,40,203.27
1,2023-10-27,00:13:01,S1,19367,9127,45,258.545
1,2023-10-27,14:53:28,S2,13586,9960,71,203.48600000000002
1,2023-10-28,10:30:20,S1,15429,45000,31,385.48999999999995
1,2023-10-28,14:50:43,S2,29367,1216,9,329.701
1,2023-10-29,05:12:38,S1,6389,16565,59,158.51500000000001
1,2023-10-29,15:04:30,S2,15773,17091,48,252.785
1,2023-10-30,06:59:46,S1,29167,15908,51,394.66900000000004
1,2023-10-30,21:36:04,S2,48882,12503,85,604.714
1,2023-10-31,03:33:42,S1,27813,10368,16,350.615
1,2023-10-31,13:16:59,S2,14813,15665,95,245.45499999999998
2,2023-10-01,10:47:13,S1,129,42604,69,228.11
2,2023-10-01,22:52:08,S2,43974,18722,60,570.602
2,2023-10-02,03:53:55,S1,6730,34279,60,250.695
2,2023-10-02,16:08:50,S2,3828,24300,50,169.78
2,2023-10-03,05:30:07,S1,40743,4177,56,476.081
2,2023-10-03,21:50:39,S2,22517,47884,37,471.99
2,2023-10-04,05:47:31,S1,40522,27892,46,566.5100000000001
2,2023-10-04,13:45:11,S2,42472,37473,68,630.6840000000001
2,2023-10-05,10:49:46,S1,26854,19172,25,377.08200000000005
2,2023-10-05,14:57:22,S2,46492,16425,31,583.3120000000001
2,2023-10-06,02:22:17,S1,28428,33349,43,459.62500000000006
2,2023-10-06,22:25:12,S2,7911,43975,65,311.985
2,2023-10-07,10:36:07,S1,48373,24560,63,642.943
2,2023-10-07,20:47:11,S2,34694,7959,46,422.67
2,2023-10-08,08:55:25,S1,39897,8223,79,487.559
2,2023-10-08,12:16:49,S2,18606,30630,84,356.01000000000005
2,2023-10-09,07:50:42,S1,35803,7220,36,429.91300000000007
2,2023-10-09,12:08:51,S2,45303,6819,91,543.809
2,2023-10-10,11:33:14,S1,31615,563,11,352.21700000000004
2,2023-10-10,19:58:03,S2,5077,12645,71,128.195
2,2023-10-11,02:02:33,S1,21899,38842,2,413.6
2,2023-10-11,18:49:50,S2,11490,43742,21,337.81
2,2023-10-12,09:06:52,S1,10974,26759,51,253.735
2,2023-10-12,13:49:18,S2,49383,10062,13,586.061
2,2023-10-13,08:43:32,S1,16368,14621,80,254.53200000000004
2,2023-10-13,22:58:28,S2,47033,14103,85,590.775
2,2023-10-14,10:06:20,S1,42608,47953,42,674.245
2,2023-10-14,21:54:04,S2,49032,103,5,540.764
2,2023-10-15,02:55:20,S1,30220,25456,5,435.244
2,2023-10-15,16:32:48,S2,32805,47811,85,584.105
