rank,player_id,total_loyalty_points,total_games_played,bonus
1,96,27295.428,3250,1079.1416260579197
2,27,26974.755,3688,1066.4636206918608
3,30,26956.592,3532,1065.7455352544723
4,86,26842.631,2809,1061.2400166435464
5,91,26660.863,3501,1054.053706354318
6,23,26613.103,3439,1052.16548521851
7,72,26551.648,2957,1049.7358237884202
8,83,26115.162,3173,1032.479079846119
9,82,26086.808,3439,1031.3580869213977
10,31,25991.837,3157,1027.603349704295
11,81,25977.318,3199,1027.029332060434
12,48,25975.481,3038,1026.9567051293936
13,12,25913.097,3112,1024.4903151097906
14,56,25745.017,2939,1017.8451683655148
15,70,25660.828,3768,1014.5167041862321
16,98,25608.77,3082,1012.4585589624487
17,2,25514.558,3294,1008.7338292797278
18,64,25406.454,3328,1004.4598707858964
19,61,25397.154,3144,1004.0921895345771
20,77,25380.828,3268,1003.4467310282286
21,85,25350.97,3488,1002.2662765334011
22,58,25308.404,2439,1000.5834033996741
23,7,25188.819,3603,995.855536470746
24,15,25157.032,3171,994.5988177679837
25,43,25126.982,3185,993.4107724344193
26,33,25123.658,2611,993.2793560387865
27,39,25080.288,3172,991.5646962678486
28,19,25071.789,3070,991.2286830468847
29,8,24987.794,2972,987.9078887775759
30,45,24835.885,3171,981.9020725187931
31,13,24809.372,3376,980.8538646675854
32,5,24714.433,2569,977.1003925902722
33,18,24711.792,3272,976.9959790220212
34,17,24702.888,3115,976.6439538755967
35,65,24672.538,3179,975.444047856506
36,9,24661.411,3041,975.0041350303306
37,22,24593.859,3155,972.3334249347255
38,92,24589.432,3108,972.1584007519737
39,71,24542.858,2985,970.3170688596135
40,53,24536.205,3442,970.0540383902556
41,89,24515.967,3087,969.2539165446426
42,47,24490.182,3404,968.2344906236457
43,50,24459.727,3255,967.0304333646205
44,32,24440.579,3295,966.273405343087
45,87,24439.376,3355,966.2258439941259
46,84,24434.527,3054,966.0341357804004
47,4,24400.439,3551,964.6864456196504
48,60,24390.355,3100,964.2877684434885
49,1,24358.396,3517,963.0242496143577
50,3,24318.091,3131,961.4307665138815
